Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
132Sb,M,51,(8-),B-,100.00,0,5.509,unstable,EQUAL,4.10,0.5,0.5,M,,,-79.668,0.01,,2.46E+02
133Sb,,51,(7/2+),B-,100.00,0,4.002,unstable,EQUAL,2.34,0.05,0.05,M,,,-78.942,0.025,,1.40E+02
134Sb,,51,(0-),B-,100.00,0,8.394,unstable,EQUAL,0.78,0.06,0.06,S,,,-74.165,0.043,,7.80E-01
134Sb,M,51,(7-),B-,100.00,0.279,8.673,unstable,EQUAL,10.07,0.05,0.05,S,,,-73.886,0.043,,1.01E+01
134Sb,M,51,(7-),BN,0.09,0.279,0.986,unstable,EQUAL,10.07,0.05,0.05,S,,,-73.886,0.043,,1.01E+01
135Sb,,51,(7/2+),B-,100.00,0,8.12,unstable,EQUAL,1.679,1.5e-15,1.5e-15,S,,,-69.787,0.047,,1.68E+00
135Sb,,51,(7/2+),BN,22.00,0,4.781,unstable,EQUAL,1.679,1.5e-15,1.5e-15,S,,,-69.787,0.047,,1.68E+00
136Sb,,51,1-,B-,100.00,0,9.547,unstable,EQUAL,0.923,1.4e-15,1.4e-15,S,,,-64.525,0.298,S,9.23E-01
136Sb,,51,1-,BN,16.30,0,4.878,unstable,EQUAL,0.923,1.4e-15,1.4e-15,S,,,-64.525,0.298,S,9.23E-01
136Sb,M,51,(6-),IT,100.00,0.2778,0.278,unstable,EQUAL,0.48,0.1,0.1,US,,,-64.2472,0.298,S,4.80E-07
137Sb,,51,(7/2+),B-,100.00,0,9.303,unstable,EQUAL,492,25,25,MS,,,-60.398,0.401,S,4.92E-01
137Sb,,51,(7/2+),BN,49.00,0,6.096,unstable,EQUAL,492,25,25,MS,,,-60.398,0.401,S,4.92E-01
138Sb,,51,,B-,100.00,0,10.777,unstable,EQUAL,350,15,15,MS,,,-54.846,0.298,S,3.50E-01
138Sb,,51,,BN,72.00,0,6.336,unstable,EQUAL,350,15,15,MS,,,-54.846,0.298,S,3.50E-01
139Sb,,51,,B-,100.00,0,10.479,unstable,EQUAL,93,14,3,MS,,,-50.319,0.503,S,9.30E-02
139Sb,,51,,BN,90.00,0,7.541,unstable,EQUAL,93,14,3,MS,,,-50.319,0.503,S,9.30E-02
140Sb,,51,,B-,,0,0,unstable,GT,407,,,NS,,,0,0,,4.07E-07
140Sb,,51,,BN,,0,0,unstable,GT,407,,,NS,,,0,0,,4.07E-07
140Sb,,51,,B2N,,0,0,unstable,GT,407,,,NS,,,0,0,,4.07E-07
105Te,,52,(5/2+),A,100.00,0,4.636,unstable,EQUAL,0.62,0.07,0.07,US,,,-52.562,0.298,S,6.20E-07
106Te,,52,0+,A,100.00,0,4.29,unstable,EQUAL,70,17,17,US,,,-58.219,0.1,,7.00E-05
107Te,,52,,A,70.00,0,4.008,unstable,EQUAL,3.1,0.1,0.1,MS,,,-60.536,0.07,,3.10E-03
107Te,,52,,EC,30.00,0,10.113,unstable,EQUAL,3.1,0.1,0.1,MS,,,-60.536,0.07,,3.10E-03
108Te,,52,0+,EC,51.00,0,6.786,unstable,EQUAL,2.1,0.1,0.1,S,,,-65.783,0.005,,2.10E+00
108Te,,52,0+,A,49.00,0,3.445,unstable,EQUAL,2.1,0.1,0.1,S,,,-65.783,0.005,,2.10E+00
108Te,,52,0+,EP,2.40,0,5.566,unstable,EQUAL,2.1,0.1,0.1,S,,,-65.783,0.005,,2.10E+00
109Te,,52,(5/2+),EC,96.10,0,8.647,unstable,EQUAL,4.6,0.3,0.3,S,,,-67.715,0.004,,4.60E+00
109Te,,52,(5/2+),EP,9.40,0,7.14,unstable,EQUAL,4.6,0.3,0.3,S,,,-67.715,0.004,,4.60E+00
109Te,,52,(5/2+),A,3.90,0,3.226,unstable,EQUAL,4.6,0.3,0.3,S,,,-67.715,0.004,,4.60E+00
109Te,,52,(5/2+),EA,<5.0E-3,0,0,unstable,EQUAL,4.6,0.3,0.3,S,,,-67.715,0.004,,4.60E+00
110Te,,52,0+,EC,100.00,0,5.267,unstable,EQUAL,18.6,0.8,0.8,S,,,-72.229,0.006,,1.86E+01
110Te,,52,0+,A,@3.0E-3,0,2.723,unstable,EQUAL,18.6,0.8,0.8,S,,,-72.229,0.006,,1.86E+01
111Te,,52,(5/2)+,EC,100.00,0,7.403,unstable,EQUAL,19.3,0.4,0.4,S,,,-73.587,0.006,,1.93E+01
111Te,,52,(5/2)+,EP,,0,5.07,unstable,EQUAL,19.3,0.4,0.4,S,,,-73.587,0.006,,1.93E+01
112Te,,52,0+,EC,100.00,0,4.299,unstable,EQUAL,2.0,2,2,M,,,-77.567,0.008,,1.20E+02
113Te,,52,(7/2+),EC,100.00,0,6.073,unstable,EQUAL,1.7,0.2,0.2,M,,,-78.347,0.027,,1.02E+02
114Te,,52,0+,EC,100.00,0,2.627,unstable,EQUAL,15.2,0.7,0.7,M,,,-81.888,0.027,,9.12E+02
115Te,,52,7/2+,EC,100.00,0,4.941,unstable,EQUAL,5.8,0.2,0.2,M,,,-82.062,0.027,,3.48E+02
115Te,M,52,(1/2)+,EC,&100.00,0.02,4.961,unstable,EQUAL,6.7,0.4,0.4,M,,,-82.042,0.027,,4.02E+02
115Te,M,52,(1/2)+,IT,,0.02,0.02,unstable,EQUAL,6.7,0.4,0.4,M,,,-82.042,0.027,,4.02E+02
115Te,M,52,11/2-,IT,100.00,0.2801,0.28,unstable,EQUAL,7.5,0.2,0.2,US,,,-81.7819,0.027,,7.50E-06
116Te,,52,0+,EC,100.00,0,1.552,unstable,EQUAL,2.49,4e-16,4e-16,H,,,-85.268,0.027,,8.96E+03
117Te,,52,1/2+,EC,100.00,0,3.548,unstable,EQUAL,62,2,2,M,,,-85.096,0.013,,3.72E+03
117Te,M,52,(11/2-),IT,100.00,0.2961,0.296,unstable,EQUAL,103,3,3,MS,,,-84.7999,0.013,,1.03E-01
118Te,,52,0+,EC,100.00,0,0.278,unstable,EQUAL,6.00,2,2,D,,,-87.683,0.019,,5.18E+05
119Te,,52,1/2+,EC,100.00,0,2.293,unstable,EQUAL,16.05,0.05,0.05,H,,,-87.181,0.007,,5.78E+04
119Te,M,52,11/2-,EC,100.00,0.261,2.554,unstable,EQUAL,4.70,0.4,0.4,D,,,-86.92,0.007,,4.06E+05
119Te,M,52,11/2-,IT,<8.0E-3,0.261,0.261,unstable,EQUAL,4.70,0.4,0.4,D,,,-86.92,0.007,,4.06E+05
120Te,,52,0+,,,0,0,stable,,,,,,0.09,0.01,-89.369,0.003,,0.00E+00
121Te,,52,1/2+,EC,100.00,0,1.044,unstable,EQUAL,19.17,4e-15,4e-15,D,,,-88.545,0.025,,1.66E+06
121Te,M,52,11/2-,IT,88.60,0.294,0.294,unstable,EQUAL,164.2,0.8,0.8,D,,,-88.251,0.025,,1.42E+07
121Te,M,52,11/2-,EC,11.40,0.294,1.338,unstable,EQUAL,164.2,0.8,0.8,D,,,-88.251,0.025,,1.42E+07
122Te,,52,0+,,,0,0,stable,,,,,,2.55,0.12,-90.315,0.001,,0.00E+00
123Te,,52,1/2+,EC,100.00,0,0.052,unstable,GT,9.2E+16,,,Y,0.89,0.03,-89.173,0.001,,2.90E+24
123Te,M,52,11/2-,IT,100.00,0.2475,0.248,unstable,EQUAL,119.2,0.1,0.1,D,,,-88.9255,0.001,,1.03E+07
124Te,,52,0+,,,0,0,stable,,,,,,4.74,1.4e-14,-90.526,0.001,,0.00E+00
125Te,,52,1/2+,,,0,0,stable,,,,,,7.07,0.15,-89.024,0.001,,0.00E+00
125Te,M,52,11/2-,IT,100.00,0.1448,0.145,unstable,EQUAL,57.40,1.5,1.5,D,,,-88.8792,0.001,,4.96E+06
126Te,,52,0+,,,0,0,stable,,,,,,18.84,0.25,-90.066,0.001,,0.00E+00
127Te,,52,3/2+,B-,100.00,0,0.702,unstable,EQUAL,9.35,0.07,0.07,H,,,-88.283,0.001,,3.37E+04
127Te,M,52,11/2-,IT,97.60,0.0883,0.088,unstable,EQUAL,106.1,0.7,0.7,D,,,-88.1947,0.001,,9.17E+06
127Te,M,52,11/2-,B-,2.40,0.0883,0.79,unstable,EQUAL,106.1,0.7,0.7,D,,,-88.1947,0.001,,9.17E+06
128Te,,52,0+,2B-,100.00,0,0.868,unstable,EQUAL,2.41E+24,3.9e+23,3.9e+23,Y,31.74,0.08,-88.993,0,,7.61E+31
129Te,,52,3/2+,B-,100.00,0,1.5,unstable,EQUAL,69.6,0.3,0.3,M,,,-87.004,0,,4.18E+03
129Te,M,52,11/2-,IT,63.00,0.1055,0.105,unstable,EQUAL,33.6,0.1,0.1,D,,,-86.8985,0,,2.90E+06
129Te,M,52,11/2-,B-,37.00,0.1055,1.605,unstable,EQUAL,33.6,0.1,0.1,D,,,-86.8985,0,,2.90E+06
130Te,,52,0+,2B-,100.00,0,2.53,unstable,GE,3.0E+24,,,Y,34.08,6.2e-14,-87.352,0,,9.47E+31
131Te,,52,3/2+,B-,100.00,0,2.235,unstable,EQUAL,25.0,1,1,M,,,-85.211,0,,1.50E+03
131Te,M,52,11/2-,B-,74.10,0.1823,2.417,unstable,EQUAL,33.25,0.25,0.25,H,,,-85.0287,0,,1.20E+05
131Te,M,52,11/2-,IT,25.90,0.1823,0.182,unstable,EQUAL,33.25,0.25,0.25,H,,,-85.0287,0,,1.20E+05
131Te,M,52,(23/2+),IT,100.00,1.94,1.94,unstable,EQUAL,93,12,12,MS,,,-83.271,0,,9.30E-02
132Te,,52,0+,B-,100.00,0,0.518,unstable,EQUAL,3.204,0.013,0.013,D,,,-85.18,0.006,,2.77E+05
132Te,M,52,(7)-,IT,100.00,1.9255,1.926,unstable,EQUAL,28.1,1.5,1.5,US,,,-83.2545,0.006,,2.81E-05
132Te,M,52,(10+),IT,100.00,2.7233,2.723,unstable,EQUAL,3.70,0.9,0.9,US,,,-82.4567,0.006,,3.70E-06
133Te,,52,(3/2+),B-,100.00,0,2.942,unstable,EQUAL,12.5,0.3,0.3,M,,,-82.944,0.024,,7.50E+02
133Te,M,52,(11/2-),B-,83.50,0.3343,3.276,unstable,EQUAL,55.4,0.4,0.4,M,,,-82.6097,0.024,,3.32E+03
133Te,M,52,(11/2-),IT,16.50,0.3343,0.334,unstable,EQUAL,55.4,0.4,0.4,M,,,-82.6097,0.024,,3.32E+03
134Te,,52,0+,B-,100.00,0,1.513,unstable,EQUAL,41.8,0.8,0.8,M,,,-82.559,0.01,,2.51E+03
134Te,M,52,6+,IT,100.00,1.6913,1.691,unstable,EQUAL,164.1,0.9,0.9,NS,,,-80.8677,0.01,,1.64E-07
135Te,,52,(7/2-),B-,100.00,0,5.962,unstable,EQUAL,19.0,2,2,S,,,-77.903,0.014,,1.90E+01
135Te,M,52,(19/2-),IT,100.00,1.5549,1.555,unstable,EQUAL,0.511,0.02,0.02,US,,,-76.3481,0.014,,5.11E-07
136Te,,52,0+,B-,100.00,0,5.074,unstable,EQUAL,17.63,8e-15,8e-15,S,,,-74.479,0.024,,1.76E+01
136Te,,52,0+,BN,1.31,0,1.293,unstable,EQUAL,17.63,8e-15,8e-15,S,,,-74.479,0.024,,1.76E+01
137Te,,52,(7/2-),B-,100.00,0,6.942,unstable,EQUAL,2.49,5e-16,5e-16,S,,,-69.29,0.12,,2.49E+00
137Te,,52,(7/2-),BN,2.99,0,1.867,unstable,EQUAL,2.49,5e-16,5e-16,S,,,-69.29,0.12,,2.49E+00
138Te,,52,0+,B-,100.00,0,6.4,unstable,EQUAL,1.4,0.4,0.4,S,,,-65.755,0.122,,1.40E+00
138Te,,52,0+,BN,6.30,0,2.5,unstable,EQUAL,1.4,0.4,0.4,S,,,-65.755,0.122,,1.40E+00
139Te,,52,(7/2-),B-,,0,8.039,unstable,GT,150,,,NS,,,-60.389,0.401,S,1.50E-07
139Te,,52,(7/2-),BN,,0,3.461,unstable,GT,150,,,NS,,,-60.389,0.401,S,1.50E-07
140Te,,52,0+,B-,,0,7.312,unstable,GT,300,,,NS,,,-56.598,0.298,S,3.00E-07
140Te,,52,0+,BN,,0,3.806,unstable,GT,300,,,NS,,,-56.598,0.298,S,3.00E-07
141Te,,52,,B-,?,0,8.961,unstable,GT,150,,,NS,,,-50.962,0.401,S,1.50E-07
141Te,,52,,BN,?,0,4.644,unstable,GT,150,,,NS,,,-50.962,0.401,S,1.50E-07
142Te,,52,0+,,,0,0,unstable,EQUAL,,,,,,,-46.901,0.596,S,0.00E+00
143Te,,52,,B-,,0,0,unstable,GT,408,,,NS,,,0,0,,4.08E-07
143Te,,52,,BN,,0,0,unstable,GT,408,,,NS,,,0,0,,4.08E-07
143Te,,52,,B2N,,0,0,unstable,GT,408,,,NS,,,0,0,,4.08E-07
107I,,53,,,,,0,unstable,EQUAL,,,,,,,-49.574,0.298,S,0.00E+00
108I,,53,(1),A,91.00,0,4.099,unstable,EQUAL,36,6,6,MS,,,-52.647,0.212,S,3.60E-02
108I,,53,(1),EC,9.00,0,13.07,unstable,EQUAL,36,6,6,MS,,,-52.647,0.212,S,3.60E-02
108I,,53,(1),P,<1.00,0,0.6,unstable,EQUAL,36,6,6,MS,,,-52.647,0.212,S,3.60E-02
109I,,53,1/2+,P,99.99,0,0.82,unstable,EQUAL,93.5,0.3,0.3,US,,,-57.675,0.005,,9.35E-05
109I,,53,1/2+,A,0.01,0,3.782,unstable,EQUAL,93.5,0.3,0.3,US,,,-57.675,0.005,,9.35E-05
110I,,53,,EC,83.00,0,11.956,unstable,EQUAL,0.65,0.02,0.02,S,,,-60.464,0.05,,6.50E-01
110I,,53,,A,17.00,0,3.584,unstable,EQUAL,0.65,0.02,0.02,S,,,-60.464,0.05,,6.50E-01
110I,,53,,EP,11.00,0,8.649,unstable,EQUAL,0.65,0.02,0.02,S,,,-60.464,0.05,,6.50E-01
110I,,53,,EA,1.10,0,0,unstable,EQUAL,0.65,0.02,0.02,S,,,-60.464,0.05,,6.50E-01
111I,,53,(5/2+),EC,99.90,0,8.538,unstable,EQUAL,2.5,0.2,0.2,S,,,-64.953,0.004,,2.50E+00
111I,,53,(5/2+),A,@0.10,0,3.282,unstable,EQUAL,2.5,0.2,0.2,S,,,-64.953,0.004,,2.50E+00
112I,,53,,EC,100.00,0,10.206,unstable,EQUAL,3.42,0.11,0.11,S,,,-67.063,0.01,,3.42E+00
112I,,53,,A,@1.2E-3,0,2.987,unstable,EQUAL,3.42,0.11,0.11,S,,,-67.063,0.01,,3.42E+00
113I,,53,5/2+,EC,100.00,0,7.219,unstable,EQUAL,6.6,0.2,0.2,S,,,-71.119,0.008,,6.60E+00
113I,,53,5/2+,A,3.3E-7,0,2.706,unstable,EQUAL,6.6,0.2,0.2,S,,,-71.119,0.008,,6.60E+00
114I,,53,1+,EC,100.00,0,9.092,unstable,EQUAL,2.1,0.2,0.2,S,,,-72.796,0.298,S,2.10E+00
114I,,53,1+,EP,,0,4.335,unstable,EQUAL,2.1,0.2,0.2,S,,,-72.796,0.298,S,2.10E+00
114I,M,53,(7),EC,91.00,0.2659,9.358,unstable,EQUAL,6.2,0.5,0.5,S,,,-72.5301,0.298,S,6.20E+00
114I,M,53,(7),IT,9.00,0.2659,0.266,unstable,EQUAL,6.2,0.5,0.5,S,,,-72.5301,0.298,S,6.20E+00
115I,,53,(5/2+),EC,100.00,0,5.725,unstable,EQUAL,1.3,0.2,0.2,M,,,-76.337,0.028,,7.80E+01
116I,,53,1+,EC,100.00,0,7.777,unstable,EQUAL,2.91,0.15,0.15,S,,,-77.492,0.096,,2.91E+00
117I,,53,(5/2)+,EC,100.00,0,4.662,unstable,EQUAL,2.22,4e-16,4e-16,M,,,-80.434,0.027,,1.33E+02
118I,,53,2-,EC,100.00,0,6.75,unstable,EQUAL,13.7,0.5,0.5,M,,,-80.971,0.019,,8.22E+02
118I,M,53,(7-),EC,<100.00,0.104,6.854,unstable,EQUAL,8.5,0.5,0.5,M,,,-80.867,0.019,,5.10E+02
118I,M,53,(7-),IT,,0.104,0.104,unstable,EQUAL,8.5,0.5,0.5,M,,,-80.867,0.019,,5.10E+02
119I,,53,5/2+,EC,100.00,0,3.419,unstable,EQUAL,19.1,0.4,0.4,M,,,-83.765,0.027,,1.15E+03
120I,,53,2-,EC,100.00,0,5.615,unstable,EQUAL,81.6,0.2,0.2,M,,,-83.754,0.015,,4.90E+03
120I,M,53,(7-),EC,100.00,0.32,5.935,unstable,EQUAL,53,4,4,M,,,-83.434,0.015,,3.18E+03
121I,,53,5/2+,EC,100.00,0,2.264,unstable,EQUAL,2.12,1e-16,1e-16,H,,,-86.253,0.005,,7.63E+03
122I,,53,1+,EC,100.00,0,4.234,unstable,EQUAL,3.63,0.06,0.06,M,,,-86.081,0.005,,2.18E+02
123I,,53,5/2+,EC,100.00,0,1.229,unstable,EQUAL,13.2235,0.0019,0.0019,H,,,-87.945,0.003,,4.76E+04
124I,,53,2-,EC,100.00,0,0.295,unstable,EQUAL,4.1760,0.003,0.003,D,,,-87.367,0.002,,3.61E+05
125I,,53,5/2+,EC,100.00,0,0.186,unstable,EQUAL,59.407,1e-13,1e-13,D,,,-88.838,0.001,,5.13E+06
126I,,53,2-,EC,52.70,0,2.155,unstable,EQUAL,12.93,0.05,0.05,D,,,-87.912,0.003,,1.12E+06
126I,,53,2-,B-,47.30,0,1.258,unstable,EQUAL,12.93,0.05,0.05,D,,,-87.912,0.003,,1.12E+06
127I,,53,5/2+,,,0,0,stable,,,,,,100,,-88.984,0.003,,0.00E+00
128I,,53,1+,B-,93.10,0,2.122,unstable,EQUAL,24.99,0.02,0.02,M,,,-87.739,0.003,,1.50E+03
128I,,53,1+,EC,6.90,0,1.252,unstable,EQUAL,24.99,0.02,0.02,M,,,-87.739,0.003,,1.50E+03
129I,,53,7/2+,B-,100.00,0,0.194,unstable,EQUAL,1.57E+7,400000,400000,Y,,,-88.507,0.003,,4.95E+14
130I,,53,5+,B-,100.00,0,2.949,unstable,EQUAL,12.36,0.01,0.01,H,,,-86.936,0.003,,4.45E+04
130I,M,53,2+,IT,84.00,0.04,0.04,unstable,EQUAL,8.84,0.06,0.06,M,,,-86.896,0.003,,5.30E+02
130I,M,53,2+,B-,16.00,0.04,2.989,unstable,EQUAL,8.84,0.06,0.06,M,,,-86.896,0.003,,5.30E+02
131I,,53,7/2+,B-,100.00,0,0.971,unstable,EQUAL,8.0252,0.0006,0.0006,D,,,-87.442,0,,6.93E+05
132I,,53,4+,B-,100.00,0,3.581,unstable,EQUAL,2.295,0.013,0.013,H,,,-85.698,0.005,,8.26E+03
132I,M,53,(8-),IT,86.00,0.12,0.12,unstable,EQUAL,1.387,1.5e-15,1.5e-15,H,,,-85.578,0.005,,4.99E+03
132I,M,53,(8-),B-,14.00,0.12,3.701,unstable,EQUAL,1.387,1.5e-15,1.5e-15,H,,,-85.578,0.005,,4.99E+03
133I,,53,7/2+,B-,100.00,0,1.757,unstable,EQUAL,20.83,0.08,0.08,H,,,-85.886,0.004,,7.50E+04
133I,M,53,(19/2-),IT,100.00,1.6341,1.634,unstable,EQUAL,9,2,2,S,,,-84.2519,0.004,,9.00E+00
134I,,53,(4)+,B-,100.00,0,4.052,unstable,EQUAL,52.5,0.2,0.2,M,,,-84.072,0.008,,3.15E+03
134I,M,53,(8)-,IT,97.70,0.3165,0.317,unstable,EQUAL,3.52,0.04,0.04,M,,,-83.7555,0.008,,2.11E+02
134I,M,53,(8)-,B-,2.30,0.3165,4.369,unstable,EQUAL,3.52,0.04,0.04,M,,,-83.7555,0.008,,2.11E+02
135I,,53,7/2+,B-,100.00,0,2.627,unstable,EQUAL,6.58,0.03,0.03,H,,,-83.791,0.007,,2.37E+04
136I,,53,(1-),B-,100.00,0,6.926,unstable,EQUAL,83.4,1,1,S,,,-79.572,0.018,,8.34E+01
136I,M,53,(6-),B-,100.00,0.64,7.566,unstable,EQUAL,46.9,1,1,S,,,-78.932,0.018,,4.69E+01
137I,,53,(7/2+),B-,100.00,0,5.877,unstable,EQUAL,24.5,0.2,0.2,S,,,-76.506,0.026,,2.45E+01
137I,,53,(7/2+),BN,7.14,0,1.851,unstable,EQUAL,24.5,0.2,0.2,S,,,-76.506,0.026,,2.45E+01
138I,,53,(2-),B-,100.00,0,7.82,unstable,EQUAL,6.23,0.03,0.03,S,,,-71.905,0.1,S,6.23E+00
138I,,53,(2-),BN,5.56,0,1.977,unstable,EQUAL,6.23,0.03,0.03,S,,,-71.905,0.1,S,6.23E+00
139I,,53,(7/2+),B-,100.00,0,6.806,unstable,EQUAL,2.280,1.1e-15,1.1e-15,S,,,-68.527,0.121,,2.28E+00
139I,,53,(7/2+),BN,10.00,0,3.242,unstable,EQUAL,2.280,1.1e-15,1.1e-15,S,,,-68.527,0.121,,2.28E+00
140I,,53,(4-),B-,100.00,0,8.718,unstable,EQUAL,0.86,0.04,0.04,S,,,-63.595,0.121,,8.60E-01
140I,,53,(4-),BN,9.30,0,3.299,unstable,EQUAL,0.86,0.04,0.04,S,,,-63.595,0.121,,8.60E-01
141I,,53,,B-,100.00,0,7.808,unstable,EQUAL,0.43,0.02,0.02,S,,,-60.301,0.127,,4.30E-01
141I,,53,,BN,21.20,0,4.401,unstable,EQUAL,0.43,0.02,0.02,S,,,-60.301,0.127,,4.30E-01
142I,,53,,B-,100.00,0,9.753,unstable,EQUAL,222,12,12,MS,,,-55.023,0.401,S,2.22E-01
142I,,53,,BN,?,0,4.534,unstable,EQUAL,222,12,12,MS,,,-55.023,0.401,S,2.22E-01
143I,,53,,B-,?,0,8.803,unstable,EQUAL,130,45,45,MS,,,-51.065,0.401,S,1.30E-01
144I,,53,,B-,?,0,10.694,unstable,GT,300,,,NS,,,-45.774,0.503,S,3.00E-07
145I,,53,,B-,,0,0,unstable,GT,407,,,NS,,,0,0,,4.07E-07
145I,,53,,BN,,0,0,unstable,GT,407,,,NS,,,0,0,,4.07E-07
108Xe,,54,0+,,,,0,unstable,EQUAL,,,,,,,-42.672,0.401,S,0.00E+00
109Xe,,54,(7/2+),A,100.00,0,4.217,unstable,EQUAL,13,2,2,MS,,,-45.92,0.298,S,1.30E-02
110Xe,,54,0+,A,64.00,0,3.885,unstable,EQUAL,93,3,3,MS,,,-51.919,0.101,,9.30E-02
110Xe,,54,0+,EC,,0,8.417,unstable,EQUAL,93,3,3,MS,,,-51.919,0.101,,9.30E-02
110Xe,,54,0+,EP,,0,8.418,unstable,EQUAL,93,3,3,MS,,,-51.919,0.101,,9.30E-02
111Xe,,54,(7/2+),EC,90.00,0,10.55,unstable,EQUAL,0.81,2e-15,2e-15,S,,,-54.392,0.086,,8.10E-01
111Xe,,54,(7/2+),A,10.00,0,3.719,unstable,EQUAL,0.81,2e-15,2e-15,S,,,-54.392,0.086,,8.10E-01
112Xe,,54,0+,EC,99.16,0,7.129,unstable,EQUAL,2.7,0.8,0.8,S,,,-60.028,0.008,,2.70E+00
112Xe,,54,0+,A,0.84,0,3.33,unstable,EQUAL,2.7,0.8,0.8,S,,,-60.028,0.008,,2.70E+00
113Xe,,54,(5/2+),EC,,0,9.036,unstable,EQUAL,2.74,0.08,0.08,S,,,-62.203,0.006,,2.74E+00
113Xe,,54,(5/2+),EP,7.00,0,7.92,unstable,EQUAL,2.74,0.08,0.08,S,,,-62.203,0.006,,2.74E+00
113Xe,,54,(5/2+),A,@0.01,0,3.095,unstable,EQUAL,2.74,0.08,0.08,S,,,-62.203,0.006,,2.74E+00
113Xe,,54,(5/2+),EA,@7.0E-3,0,0,unstable,EQUAL,2.74,0.08,0.08,S,,,-62.203,0.006,,2.74E+00
114Xe,,54,0+,EC,100.00,0,5.71,unstable,EQUAL,10.0,4,4,S,,,-67.085,0.011,,1.00E+01
115Xe,,54,(5/2+),EC,100.00,0,7.681,unstable,EQUAL,18,4,4,S,,,-68.656,0.012,,1.80E+01
115Xe,,54,(5/2+),EP,0.34,0,5.943,unstable,EQUAL,18,4,4,S,,,-68.656,0.012,,1.80E+01
115Xe,,54,(5/2+),A,3.0E-4,0,2.403,unstable,EQUAL,18,4,4,S,,,-68.656,0.012,,1.80E+01
116Xe,,54,0+,EC,100.00,0,4.446,unstable,EQUAL,59,2,2,S,,,-73.046,0.013,,5.90E+01
117Xe,,54,5/2(+),EC,100.00,0,6.249,unstable,EQUAL,61,2,2,S,,,-74.185,0.01,,6.10E+01
117Xe,,54,5/2(+),EP,2.9E-3,0,3.795,unstable,EQUAL,61,2,2,S,,,-74.185,0.01,,6.10E+01
118Xe,,54,0+,EC,100.00,0,2.892,unstable,EQUAL,3.8,0.9,0.9,M,,,-78.079,0.01,,2.28E+02
119Xe,,54,(5/2+),EC,100.00,0,4.971,unstable,EQUAL,5.8,0.3,0.3,M,,,-78.794,0.01,,3.48E+02
120Xe,,54,0+,EC,100.00,0,1.617,unstable,EQUAL,40,1,1,M,,,-82.172,0.011,,2.40E+03
121Xe,,54,5/2(+),EC,100.00,0,3.814,unstable,EQUAL,40.1,2,2,M,,,-82.472,0.011,,2.41E+03
122Xe,,54,0+,EC,100.00,0,0.725,unstable,EQUAL,20.1,0.1,0.1,H,,,-85.354,0.011,,7.24E+04
123Xe,,54,(1/2)+,EC,100.00,0,2.695,unstable,EQUAL,2.08,0.02,0.02,H,,,-85.249,0.009,,7.49E+03
124Xe,,54,0+,2EC,,0,0,unstable,GE,1.6E+14,,,Y,0.0952,3e-17,-87.661,0.001,,5.05E+21
125Xe,,54,1/2(+),EC,100.00,0,1.644,unstable,EQUAL,16.9,0.2,0.2,H,,,-87.193,0.001,,6.08E+04
125Xe,M,54,9/2(-),IT,100.00,0.2526,0.253,unstable,EQUAL,57,1,1,S,,,-86.9404,0.001,,5.70E+01
126Xe,,54,0+,,,0,0,stable,,,,,,0.089,2e-17,-89.146,0.003,,0.00E+00
127Xe,,54,1/2+,EC,100.00,0,0.662,unstable,EQUAL,36.346,0.003,0.003,D,,,-88.322,0.004,,3.14E+06
127Xe,M,54,9/2-,IT,100.00,0.2971,0.297,unstable,EQUAL,69.2,0.9,0.9,S,,,-88.0249,0.004,,6.92E+01
128Xe,,54,0+,,,0,0,stable,,,,,,1.9102,0.0008,-89.86,0.001,,0.00E+00
129Xe,,54,1/2+,,,0,0,stable,,,,,,26.4006,8.2e-14,-88.6961,0,,0.00E+00
129Xe,M,54,11/2-,IT,100.00,0.2361,0.236,unstable,EQUAL,8.88,2e-15,2e-15,D,,,-88.46,0,,7.67E+05
130Xe,,54,0+,,,0,0,stable,,,,,,4.071,1.3e-15,-89.88,0,,0.00E+00
131Xe,,54,3/2+,,,0,0,stable,,,,,,21.232,0.03,-88.413,0,,0.00E+00
131Xe,M,54,11/2-,IT,100.00,0.1639,0.164,unstable,EQUAL,11.84,0.04,0.04,D,,,-88.2491,0,,1.02E+06
132Xe,,54,0+,,,0,0,stable,,,,,,26.9086,0.0033,-89.279,0,,0.00E+00
132Xe,M,54,(10+),IT,100.00,2.7522,2.752,unstable,EQUAL,8.39,0.11,0.11,MS,,,-86.5268,0,,8.39E-03
133Xe,,54,3/2+,B-,100.00,0,0.427,unstable,EQUAL,5.2475,0.0005,0.0005,D,,,-87.643,0.002,,4.53E+05
133Xe,M,54,11/2-,IT,100.00,0.2332,0.233,unstable,EQUAL,2.198,0.013,0.013,D,,,-87.4098,0.002,,1.90E+05
134Xe,,54,0+,2B-,,0,0.825,unstable,GT,5.8E+22,,,Y,10.4357,2.1e-14,-88.124,0,,1.83E+30
134Xe,M,54,7-,IT,100.00,1.9655,1.965,unstable,EQUAL,290,17,17,MS,,,-86.1585,0,,2.90E-01
135Xe,,54,3/2+,B-,100.00,0,1.165,unstable,EQUAL,9.14,0.02,0.02,H,,,-86.417,0.004,,3.29E+04
