Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
19B,,5,(3/2-),BN,72.00,0,26.367,unstable,EQUAL,2.92,0.13,0.13,MS,,,58.777,0.401,S,2.92E-03
19B,,5,(3/2-),B2N,16.00,0,22.2,unstable,EQUAL,2.92,0.13,0.13,MS,,,58.777,0.401,S,2.92E-03
20B,,5,,,,,0,unstable,EQUAL,,,,,,,67.133,0.699,S,0.00E+00
21B,,5,,,,,0,unstable,EQUAL,,,,,,,75.721,0.904,S,0.00E+00
8C,,6,0+,P,100.00,0,-0.063,unstable,EQUAL,230,50,50,KEV,,,35.082,0.023,,2.06E-21
8C,,6,0+,A,,0,0,unstable,EQUAL,230,50,50,KEV,,,35.082,0.023,,2.06E-21
9C,,6,(3/2-),EC,100.00,0,16.495,unstable,EQUAL,126.5,0.9,0.9,MS,,,28.909,0.002,,1.27E-01
9C,,6,(3/2-),EP,61.60,0,16.68,unstable,EQUAL,126.5,0.9,0.9,MS,,,28.909,0.002,,1.27E-01
9C,,6,(3/2-),EA,38.40,0,0,unstable,EQUAL,126.5,0.9,0.9,MS,,,28.909,0.002,,1.27E-01
10C,,6,0+,EC,100.00,0,3.648,unstable,EQUAL,19.308,4e-15,4e-15,S,,,15.698,0,,1.93E+01
10C,M,6,2+,IT,100.00,3.3537,3.354,unstable,EQUAL,107,17,17,FS,,,19.0517,0,,1.07E-13
11C,,6,3/2-,EC,100.00,0,1.982,unstable,EQUAL,20.334,0.024,0.024,M,,,10.65,0,,1.22E+03
12C,,6,0+,,,0,0,stable,,,,,,98.93,0.08,0,0,,0.00E+00
13C,,6,1/2-,,,0,0,stable,,,,,,1.07,8e-16,3.125,0,,0.00E+00
14C,,6,0+,B-,100.00,0,0.156,unstable,EQUAL,5700,30,30,Y,,,3.0199,0,,1.80E+11
15C,,6,1/2+,B-,100.00,0,9.772,unstable,EQUAL,2.449,0.005,0.005,S,,,9.873,0,,2.45E+00
16C,,6,0+,B-,100.00,0,8.01,unstable,EQUAL,0.747,0.008,0.008,S,,,13.694,0.003,,7.47E-01
16C,,6,0+,BN,99.00,0,5.521,unstable,EQUAL,0.747,0.008,0.008,S,,,13.694,0.003,,7.47E-01
